class; scale_check ; X ; Y ; Z
AircraftBuoyant;1;1;0.905806;0.90571
AircraftBuoyant;1;1;0.94155;0.944278
AircraftBuoyant;1;1;0.345498;0.345498
AircraftBuoyant;1;1;0.354144;0.354144
AircraftBuoyant;1;1;0.60821;0.615898
AircraftBuoyant;1;1;0.693525;0.693608
AircraftBuoyant;1;1;0.682261;0.682263
AircraftBuoyant;1;1;0.602193;0.602167
AircraftBuoyant;1;1;0.319334;0.259262
AircraftBuoyant;1;1;0.416022;0.300757
AircraftBuoyant;1;1;0.317292;0.260265
AircraftBuoyant;1;1;0.338545;0.250892
AircraftBuoyant;1;1;0.270419;0.341231
AircraftBuoyant;1;1;0.197939;0.203576
AircraftBuoyant;1;1;0.377751;0.331145
Apartment;1;0.979514;1;0.487916
Apartment;1;1;0.940577;0.443814
Apartment;1;1;0.73574;0.340962
Apartment;1;1;0.787901;0.704891
Apartment;1;1;0.5463;0.381698
Apartment;1;1;0.57799;0.608407
Apartment;1;1;0.86895;0.771227
Apartment;1;1;0.686324;0.561475
Apartment;1;1;0.865852;0.374769
Apartment;1;1;0.464391;0.445168
Apartment;1;1;0.629299;0.586003
Apartment;1;1;0.792116;0.712162
Apartment;1;1;0.709057;0.669421
Apartment;1;1;0.519952;0.285771
Apartment;1;1;0.876489;0.667953
Apartment;1;1;0.613467;0.323328
Apartment;1;1;0.683023;0.555699
Apartment;1;1;0.614899;0.548116
Apartment;1;1;0.503818;0.648392
Apartment;1;1;0.990488;0.431198
Apartment;1;1;0.797539;0.579634
Apartment;1;1;0.381851;0.311709
Apartment;1;1;0.260057;0.212293
AquaticAnimal;1;1;0.338513;0.12668
AquaticAnimal;1;1;0.356691;0.186777
AquaticAnimal;1;1;0.36692;0.161113
AquaticAnimal;1;1;0.361014;0.151582
AquaticAnimal;1;1;0.378651;0.121035
AquaticAnimal;1;1;0.441083;0.457802
AquaticAnimal;1;1;0.17456;0.164241
AquaticAnimal;1;1;0.396661;0.336143
AquaticAnimal;1;1;0.358291;0.150403
AquaticAnimal;1;1;0.73618;0.105277
AquaticAnimal;1;1;0.662269;0.756336
AquaticAnimal;1;1;0.55009;0.162905
AquaticAnimal;1;1;0.65937;0.414854
AquaticAnimal;1;1;0.478172;0.460237
AquaticAnimal;1;1;0.383279;0.235723
AquaticAnimal;1;1;0.263032;0.17088
AquaticAnimal;1;1;0.327523;0.259076
AquaticAnimal;1;1;0.437862;0.245959
AquaticAnimal;1;1;0.369998;0.301497
AquaticAnimal;1;1;0.437515;0.240705
AquaticAnimal;1;1;0.572382;0.341796
AquaticAnimal;1;1;0.348112;0.296865
AquaticAnimal;1;1;0.511816;0.269977
AquaticAnimal;1;1;0.339369;0.386628
AquaticAnimal;1;1;0.463019;0.421176
AquaticAnimal;1;1;0.390107;0.344151
AquaticAnimal;1;1;0.142707;0.177673
AquaticAnimal;1;1;0.400315;0.305157
AquaticAnimal;1;1;0.397131;0.275198
Bed;1;1;0.861285;0.370299
Bed;1;1;0.715215;0.350329
Bed;1;1;0.824798;0.572659
Bed;1;1;0.836801;0.523158
Bed;1;1;0.895387;0.608647
Bed;1;1;0.488273;0.347835
Bed;1;1;0.493375;0.330588
Bed;1;0.996971;1;0.314781
Bed;1;1;0.429238;0.4829
Bed;1;1;0.741025;0.387879
Bed;1;1;0.666937;0.389182
Bed;1;1;0.664577;0.476773
Bed;1;0.897881;1;0.469502
Bed;1;1;0.721739;0.304576
Bed;1;1;0.522209;0.399739
Bed;1;1;0.673071;0.472262
Bed;1;1;0.366406;0.446924
Bed;1;1;0.799762;0.406565
Bed;1;1;0.854495;0.561463
Bed;1;1;0.657082;0.395565
Bed;1;1;0.694751;0.697904
Bed;1;1;0.492717;0.485919
Bed;1;1;0.71663;0.416482
Bed;1;0.945995;1;0.922908
Bed;1;1;0.976701;0.515273
Bed;1;1;0.953697;0.727826
Bed;1;1;0.830406;0.421479
Biplane;1;1;0.510302;0.197253
Biplane;1;1;0.645152;0.169861
Biplane;1;0.694441;1;0.234161
Biplane;1;1;0.760339;0.277979
Biplane;1;1;0.517336;0.167445
Biplane;1;0.811886;1;0.434366
Biplane;1;0.733272;1;0.253089
Biplane;1;1;0.596801;0.225536
Biplane;1;0.798133;1;0.318412
Biplane;1;1;0.512333;0.202112
Biplane;1;1;0.681257;0.243336
Biplane;1;0.876961;1;0.287858
Biplane;1;1;0.849478;0.43534
Biplane;1;1;0.471672;0.230424
Biplane;1;0.7922;1;0.280216
Biplane;1;1;0.790953;0.299829
Biplane;1;0.967238;1;0.213663
Biplane;1;1;0.721953;0.264091
Biplane;1;1;0.896875;0.320158
Biplane;1;0.695868;1;0.231395
Biplane;1;1;0.541773;0.251542
Biplane;1;0.991152;1;0.375675
Biplane;1;1;0.902587;0.315154
Biplane;1;0.795375;1;0.321419
class; scale_check ; X ; Y ; Z
AircraftBuoyant;1;1;0.905806;0.90571
AircraftBuoyant;1;1;0.94155;0.944278
AircraftBuoyant;1;1;0.345498;0.345498
AircraftBuoyant;1;1;0.354144;0.354144
AircraftBuoyant;1;1;0.60821;0.615898
AircraftBuoyant;1;1;0.693525;0.693608
AircraftBuoyant;1;1;0.682261;0.682263
AircraftBuoyant;1;1;0.602193;0.602167
AircraftBuoyant;1;1;0.319334;0.259262
AircraftBuoyant;1;1;0.416022;0.300757
AircraftBuoyant;1;1;0.317292;0.260265
AircraftBuoyant;1;1;0.338545;0.250892
AircraftBuoyant;1;1;0.270419;0.341231
AircraftBuoyant;1;1;0.197939;0.203576
AircraftBuoyant;1;1;0.377751;0.331145
Apartment;1;0.979514;1;0.487916
Apartment;1;1;0.940577;0.443814
Apartment;1;1;0.73574;0.340962
Apartment;1;1;0.787901;0.704891
Apartment;1;1;0.5463;0.381698
Apartment;1;1;0.57799;0.608407
Apartment;1;1;0.86895;0.771227
Apartment;1;1;0.686324;0.561475
Apartment;1;1;0.865852;0.374769
Apartment;1;1;0.464391;0.445168
Apartment;1;1;0.629299;0.586003
Apartment;1;1;0.792116;0.712162
Apartment;1;1;0.709057;0.669421
Apartment;1;1;0.519952;0.285771
Apartment;1;1;0.876489;0.667953
Apartment;1;1;0.613467;0.323328
Apartment;1;1;0.683023;0.555699
Apartment;1;1;0.614899;0.548116
Apartment;1;1;0.503818;0.648392
Apartment;1;1;0.990488;0.431198
Apartment;1;1;0.797539;0.579634
Apartment;1;1;0.381851;0.311709
Apartment;1;1;0.260057;0.212293
AquaticAnimal;1;1;0.338513;0.12668
AquaticAnimal;1;1;0.356691;0.186777
AquaticAnimal;1;1;0.36692;0.161113
AquaticAnimal;1;1;0.361014;0.151582
AquaticAnimal;1;1;0.378651;0.121035
AquaticAnimal;1;1;0.441083;0.457802
AquaticAnimal;1;1;0.17456;0.164241
AquaticAnimal;1;1;0.396661;0.336143
AquaticAnimal;1;1;0.358291;0.150403
AquaticAnimal;1;1;0.73618;0.105277
AquaticAnimal;1;1;0.662269;0.756336
AquaticAnimal;1;1;0.55009;0.162905
AquaticAnimal;1;1;0.65937;0.414854
AquaticAnimal;1;1;0.478172;0.460237
AquaticAnimal;1;1;0.383279;0.235723
AquaticAnimal;1;1;0.263032;0.17088
AquaticAnimal;1;1;0.327523;0.259076
AquaticAnimal;1;1;0.437862;0.245959
AquaticAnimal;1;1;0.369998;0.301497
AquaticAnimal;1;1;0.437515;0.240705
AquaticAnimal;1;1;0.572382;0.341796
AquaticAnimal;1;1;0.348112;0.296865
AquaticAnimal;1;1;0.511816;0.269977
AquaticAnimal;1;1;0.339369;0.386628
AquaticAnimal;1;1;0.463019;0.421176
AquaticAnimal;1;1;0.390107;0.344151
AquaticAnimal;1;1;0.142707;0.177673
class; scale_check ; X ; Y ; Z
AircraftBuoyant;1;1;0.905806;0.90571
AircraftBuoyant;1;1;0.94155;0.944278
AircraftBuoyant;1;1;0.345498;0.345498
AircraftBuoyant;1;1;0.354144;0.354144
AircraftBuoyant;1;1;0.60821;0.615898
AircraftBuoyant;1;1;0.693525;0.693608
AircraftBuoyant;1;1;0.682261;0.682263
AircraftBuoyant;1;1;0.602193;0.602167
AircraftBuoyant;1;1;0.319334;0.259262
AircraftBuoyant;1;1;0.416022;0.300757
AircraftBuoyant;1;1;0.317292;0.260265
AircraftBuoyant;1;1;0.338545;0.250892
AircraftBuoyant;1;1;0.270419;0.341231
AircraftBuoyant;1;1;0.197939;0.203576
AircraftBuoyant;1;1;0.377751;0.331145
Apartment;1;0.979514;1;0.487916
Apartment;1;1;0.940577;0.443814
Apartment;1;1;0.73574;0.340962
Apartment;1;1;0.787901;0.704891
Apartment;1;1;0.5463;0.381698
Apartment;1;1;0.57799;0.608407
Apartment;1;1;0.86895;0.771227
Apartment;1;1;0.686324;0.561475
Apartment;1;1;0.865852;0.374769
Apartment;1;1;0.464391;0.445168
Apartment;1;1;0.629299;0.586003
Apartment;1;1;0.792116;0.712162
Apartment;1;1;0.709057;0.669421
Apartment;1;1;0.519952;0.285771
Apartment;1;1;0.876489;0.667953
Apartment;1;1;0.613467;0.323328
Apartment;1;1;0.683023;0.555699
Apartment;1;1;0.614899;0.548116
Apartment;1;1;0.503818;0.648392
Apartment;1;1;0.990488;0.431198
Apartment;1;1;0.797539;0.579634
Apartment;1;1;0.381851;0.311709
Apartment;1;1;0.260057;0.212293
AquaticAnimal;1;1;0.338513;0.12668
AquaticAnimal;1;1;0.356691;0.186777
AquaticAnimal;1;1;0.36692;0.161113
AquaticAnimal;1;1;0.361014;0.151582
AquaticAnimal;1;1;0.378651;0.121035
AquaticAnimal;1;1;0.441083;0.457802
AquaticAnimal;1;1;0.17456;0.164241
class; scale_check ; X ; Y ; Z
AircraftBuoyant;1;1;0.905806;0.90571
AircraftBuoyant;1;1;0.94155;0.944278
class; scale_check ; X ; Y ; Z
AircraftBuoyant;1;1;0.905806;0.90571
AircraftBuoyant;1;1;0.94155;0.944278
AircraftBuoyant;1;1;0.345498;0.345498
AircraftBuoyant;1;1;0.354144;0.354144
AircraftBuoyant;1;1;0.60821;0.615898
AircraftBuoyant;1;1;0.693525;0.693608
AircraftBuoyant;1;1;0.682261;0.682263
AircraftBuoyant;1;1;0.602193;0.602167
AircraftBuoyant;1;1;0.319334;0.259262
AircraftBuoyant;1;1;0.416022;0.300757
AircraftBuoyant;1;1;0.317292;0.260265
AircraftBuoyant;1;1;0.338545;0.250892
AircraftBuoyant;1;1;0.270419;0.341231
AircraftBuoyant;1;1;0.197939;0.203576
AircraftBuoyant;1;1;0.377751;0.331145
Apartment;1;0.979514;1;0.487916
Apartment;1;1;0.940577;0.443814
Apartment;1;1;0.73574;0.340962
Apartment;1;1;0.787901;0.704891
Apartment;1;1;0.5463;0.381698
Apartment;1;1;0.57799;0.608407
Apartment;1;1;0.86895;0.771227
Apartment;1;1;0.686324;0.561475
Apartment;1;1;0.865852;0.374769
Apartment;1;1;0.464391;0.445168
Apartment;1;1;0.629299;0.586003
Apartment;1;1;0.792116;0.712162
Apartment;1;1;0.709057;0.669421
Apartment;1;1;0.519952;0.285771
Apartment;1;1;0.876489;0.667953
Apartment;1;1;0.613467;0.323328
Apartment;1;1;0.683023;0.555699
Apartment;1;1;0.614899;0.548116
Apartment;1;1;0.503818;0.648392
Apartment;1;1;0.990488;0.431198
Apartment;1;1;0.797539;0.579634
Apartment;1;1;0.381851;0.311709
Apartment;1;1;0.260057;0.212293
AquaticAnimal;1;1;0.338513;0.12668
AquaticAnimal;1;1;0.356691;0.186777
AquaticAnimal;1;1;0.36692;0.161113
AquaticAnimal;1;1;0.361014;0.151582
AquaticAnimal;1;1;0.378651;0.121035
AquaticAnimal;1;1;0.441083;0.457802
AquaticAnimal;1;1;0.17456;0.164241
AquaticAnimal;1;1;0.396661;0.336143
AquaticAnimal;1;1;0.358291;0.150403
AquaticAnimal;1;1;0.73618;0.105277
AquaticAnimal;1;1;0.662269;0.756336
AquaticAnimal;1;1;0.55009;0.162905
AquaticAnimal;1;1;0.65937;0.414854
AquaticAnimal;1;1;0.478172;0.460237
AquaticAnimal;1;1;0.383279;0.235723
AquaticAnimal;1;1;0.263032;0.17088
AquaticAnimal;1;1;0.327523;0.259076
AquaticAnimal;1;1;0.437862;0.245959
AquaticAnimal;1;1;0.369998;0.301497
AquaticAnimal;1;1;0.437515;0.240705
AquaticAnimal;1;1;0.572382;0.341796
AquaticAnimal;1;1;0.348112;0.296865
AquaticAnimal;1;1;0.511816;0.269977
AquaticAnimal;1;1;0.339369;0.386628
class; scale_check ; X ; Y ; Z
AircraftBuoyant;1;1;0.905806;0.90571
AircraftBuoyant;1;1;0.94155;0.944278
AircraftBuoyant;1;1;0.345498;0.345498
AircraftBuoyant;1;1;0.354144;0.354144
AircraftBuoyant;1;1;0.60821;0.615898
AircraftBuoyant;1;1;0.693525;0.693608
AircraftBuoyant;1;1;0.682261;0.682263
AircraftBuoyant;1;1;0.602193;0.602167
AircraftBuoyant;1;1;0.319334;0.259262
AircraftBuoyant;1;1;0.416022;0.300757
AircraftBuoyant;1;1;0.317292;0.260265
AircraftBuoyant;1;1;0.338545;0.250892
AircraftBuoyant;1;1;0.270419;0.341231
AircraftBuoyant;1;1;0.197939;0.203576
AircraftBuoyant;1;1;0.377751;0.331145
Apartment;1;0.979514;1;0.487916
Apartment;1;1;0.940577;0.443814
Apartment;1;1;0.73574;0.340962
Apartment;1;1;0.787901;0.704891
Apartment;1;1;0.5463;0.381698
Apartment;1;1;0.57799;0.608407
Apartment;1;1;0.86895;0.771227
Apartment;1;1;0.686324;0.561475
Apartment;1;1;0.865852;0.374769
Apartment;1;1;0.464391;0.445168
Apartment;1;1;0.629299;0.586003
Apartment;1;1;0.792116;0.712162
Apartment;1;1;0.709057;0.669421
Apartment;1;1;0.519952;0.285771
Apartment;1;1;0.876489;0.667953
Apartment;1;1;0.613467;0.323328
Apartment;1;1;0.683023;0.555699
Apartment;1;1;0.614899;0.548116
Apartment;1;1;0.503818;0.648392
Apartment;1;1;0.990488;0.431198
Apartment;1;1;0.797539;0.579634
Apartment;1;1;0.381851;0.311709
Apartment;1;1;0.260057;0.212293
AquaticAnimal;1;1;0.338513;0.12668
AquaticAnimal;1;1;0.356691;0.186777
AquaticAnimal;1;1;0.36692;0.161113
AquaticAnimal;1;1;0.361014;0.151582
AquaticAnimal;1;1;0.378651;0.121035
AquaticAnimal;1;1;0.441083;0.457802
AquaticAnimal;1;1;0.17456;0.164241
AquaticAnimal;1;1;0.396661;0.336143
AquaticAnimal;1;1;0.358291;0.150403
AquaticAnimal;1;1;0.73618;0.105277
AquaticAnimal;1;1;0.662269;0.756336
AquaticAnimal;1;1;0.55009;0.162905
AquaticAnimal;1;1;0.65937;0.414854
AquaticAnimal;1;1;0.478172;0.460237
AquaticAnimal;1;1;0.383279;0.235723
AquaticAnimal;1;1;0.263032;0.17088
AquaticAnimal;1;1;0.327523;0.259076
AquaticAnimal;1;1;0.437862;0.245959
AquaticAnimal;1;1;0.369998;0.301497
AquaticAnimal;1;1;0.437515;0.240705
AquaticAnimal;1;1;0.572382;0.341796
AquaticAnimal;1;1;0.348112;0.296865
AquaticAnimal;1;1;0.511816;0.269977
AquaticAnimal;1;1;0.339369;0.386628
AquaticAnimal;1;1;0.463019;0.421176
AquaticAnimal;1;1;0.390107;0.344151
AquaticAnimal;1;1;0.142707;0.177673
AquaticAnimal;1;1;0.400315;0.305157
AquaticAnimal;1;1;0.397131;0.275198
Bed;1;1;0.861285;0.370299
Bed;1;1;0.715215;0.350329
Bed;1;1;0.824798;0.572659
Bed;1;1;0.836801;0.523158
Bed;1;1;0.895387;0.608647
Bed;1;1;0.488273;0.347835
Bed;1;1;0.493375;0.330588
Bed;1;0.996971;1;0.314781
Bed;1;1;0.429238;0.4829
Bed;1;1;0.741025;0.387879
Bed;1;1;0.666937;0.389182
Bed;1;1;0.664577;0.476773
Bed;1;0.897881;1;0.469502
Bed;1;1;0.721739;0.304576
Bed;1;1;0.522209;0.399739
Bed;1;1;0.673071;0.472262
Bed;1;1;0.366406;0.446924
Bed;1;1;0.799762;0.406565
Bed;1;1;0.854495;0.561463
Bed;1;1;0.657082;0.395565
Bed;1;1;0.694751;0.697904
Bed;1;1;0.492717;0.485919
Bed;1;1;0.71663;0.416482
Bed;1;0.945995;1;0.922908
Bed;1;1;0.976701;0.515273
Bed;1;1;0.953697;0.727826
Bed;1;1;0.830406;0.421479
Biplane;1;1;0.510302;0.197253
Biplane;1;1;0.645152;0.169861
Biplane;1;0.694441;1;0.234161
Biplane;1;1;0.760339;0.277979
Biplane;1;1;0.517336;0.167445
Biplane;1;0.811886;1;0.434366
Biplane;1;0.733272;1;0.253089
Biplane;1;1;0.596801;0.225536
Biplane;1;0.798133;1;0.318412
Biplane;1;1;0.512333;0.202112
Biplane;1;1;0.681257;0.243336
Biplane;1;0.876961;1;0.287858
Biplane;1;1;0.849478;0.43534
Biplane;1;1;0.471672;0.230424
Biplane;1;0.7922;1;0.280216
Biplane;1;1;0.790953;0.299829
Biplane;1;0.967238;1;0.213663
Biplane;1;1;0.721953;0.264091
Biplane;1;1;0.896875;0.320158
Biplane;1;0.695868;1;0.231395
Biplane;1;1;0.541773;0.251542
Biplane;1;0.991152;1;0.375675
Biplane;1;1;0.902587;0.315154
Biplane;1;0.795375;1;0.321419
Biplane;1;0.960064;1;0.285
Biplane;1;0.699841;1;0.273749
Biplane;1;1;0.635037;0.194734
Biplane;1;0.829132;1;0.261742
Biplane;1;1;0.81913;0.227717
Biplane;1;0.831424;1;0.210203
Biplane;1;0.985519;1;0.215834
Biplane;1;0.713171;1;0.297347
Biplane;1;0.732962;1;0.215856
Biplane;1;1;0.75519;0.19249
Biplane;1;0.808663;1;0.276506
Biplane;1;1;0.549462;0.141743
Biplane;1;1;0.539286;0.160342
Biplane;1;0.572339;1;0.209699
Biplane;1;1;0.468286;0.104859
Biplane;1;1;0.965093;0.358171
Biplane;1;1;0.655443;0.268594
Biplane;1;1;0.640303;0.29968
Biplane;1;1;0.51077;0.198417
Biplane;1;1;0.734487;0.260371
Biplane;1;1;0.91344;0.273339
Bird;1;1;0.537542;0.252731
Bird;1;1;0.828185;0.500706
Bird;1;1;0.529229;0.261574
Bird;1;1;0.779843;0.299517
Bird;1;1;0.660516;0.234521
Bird;1;1;0.470416;0.236459
Bird;1;1;0.257715;0.0380611
Bird;1;1;0.311018;0.10554
Bird;1;1;0.450536;0.131883
Bird;1;1;0.613222;0.497225
Bird;1;1;0.348907;0.182675
Bird;1;1;0.376948;0.100202
Bird;1;1;0.692721;0.460886
Bird;1;1;0.293858;0.26047
Bird;1;1;0.481258;0.139943
Bird;1;1;0.872867;0.362139
Bird;1;1;0.479506;0.255499
Bird;1;1;0.749158;0.441232
Bird;1;1;0.576794;0.124043
Bird;1;1;0.344778;0.134628
Bird;1;1;0.509588;0.432363
Bird;1;1;0.369623;0.256677
Bird;1;1;0.364929;0.310889
Bird;1;1;0.505851;0.429603
Bird;1;1;0.52554;0.33381
Bird;1;1;0.820024;0.584404
Bird;1;1;0.532599;0.246459
Bird;1;0.887736;1;0.672257
Bird;1;0.957062;1;0.868325
Bird;1;1;0.753401;0.392535
Bird;1;1;0.344961;0.13869
Bird;1;0.869824;1;0.215917
Bird;1;1;0.293503;0.259219
Bird;1;1;0.45059;0.131709
Bird;1;1;0.445152;0.200152
Bird;1;0.7319;1;0.301472
Bird;1;1;0.545499;0.252242
Bird;1;1;0.471324;0.234241
Bird;1;1;0.701364;0.1253
Bird;1;1;0.484897;0.452866
Bird;1;1;0.824402;0.664987
Bird;1;1;0.513481;0.37961
Bird;1;1;0.56354;0.44894
Bird;1;1;0.611815;0.971593
Bookset;1;1;0.66236;0.616643
Bookset;1;1;0.692288;0.499505
Bookset;1;1;0.766256;0.568081
Bookset;1;1;0.397473;0.268058
Bookset;1;1;0.810786;0.742509
Bookset;1;1;0.795589;0.717556
Bookset;1;1;0.632637;0.47728
Bookset;1;1;0.62423;0.475103
Bookset;1;1;0.598939;0.553493
Bookset;1;1;0.676676;0.405135
Bookset;1;1;0.977656;0.791257
Bookset;1;1;0.755313;0.758002
Bookset;1;1;0.759959;0.645353
Bookset;1;1;0.506779;0.306562
Bookset;1;1;0.844232;0.911981
Bookset;1;1;0.953866;0.596635
Bookset;1;0.955311;1;0.641864
Bookset;1;1;0.69932;0.574635
Bookset;1;1;0.375485;0.225964
Bookset;1;1;0.639952;0.582115
Bottle;1;1;0.250488;0.253376
Bottle;1;1;0.230631;0.230635
Bottle;1;1;0.244688;0.239292
Bottle;1;1;0.46229;0.326796
Bottle;1;1;0.312286;0.311779
Bottle;1;1;0.291641;0.291506
Bottle;1;1;0.29676;0.29955
Bottle;1;1;0.396907;0.39691
Bottle;1;1;0.272497;0.27199
Bottle;1;1;0.252284;0.243071
Bottle;1;1;0.515765;0.513037
Bottle;1;1;0.398187;0.397166
Bottle;1;1;0.308535;0.308747
Bottle;1;1;0.243668;0.243103
Bottle;1;1;0.429954;0.430092
Bottle;1;1;0.492674;0.166634
Bottle;1;1;0.307144;0.306734
Bottle;1;1;0.252362;0.25223
Bottle;1;1;0.423038;0.423339
Bottle;1;1;0.255801;0.255803
Bottle;1;1;0.2943;0.298597
Bottle;1;1;0.244861;0.24455
Bottle;1;1;0.274348;0.276611
Bottle;1;1;0.280666;0.279744
Bottle;1;1;0.297349;0.295095
Bottle;1;1;0.276215;0.276773
Bottle;1;1;0.360456;0.358009
Bottle;1;1;0.316806;0.31607
